Placement,Swiss,Country,Player,Prize,Team,Class,Tournament
3,6-0,HKG,Mak Kwan Ho(KanadeVgc),Worlds Day 1,"['SOLGALEO', 'KYOGRE', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
4,5-1,HKG,Choi Yin Fung(♥中野二万♥),Worlds Day 1,"['YVELTAL', 'KYOGRE', 'Indeedee-Female', 'Rillaboom', 'Whimsicott', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
5,5-1,HKG,Fu Chi Yuen(Chi Yuen),–,"['ZACIAN-Crowned', 'CALYREX-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
6,5-1,HKG,Billy Ho Chung Yin(紅莉栖),–,"['ZAMAZENTA-Crowned', 'GROUDON', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
7,5-1,HKG,Cheung Yiu Hang(カイナアノン),–,"['ZACIAN-Crowned', 'YVELTAL', 'Incineroar', 'Gastrodon-East', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
8,4-2,HKG,Cheung Man Fung(Serena),–,"['KYUREM-White', 'CALYREX-Shadow-Rider', 'Talonflame', 'Tsareena', 'Moltres-Galar', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Hong Kong National Championships
1,8-1,SGP,Jude Lee(マギカウラ),$200,"['ZACIAN-Crowned', 'YVELTAL', 'Incineroar', 'Rillaboom', 'Urshifu', 'Coalossal']",Teams and Results,Teams and results from the Victory Road to Columbus
2,7-2,ESP,Joan García(Joan Garcia),$100,"['ZACIAN-Crowned', 'YVELTAL', 'Amoonguss', 'Rillaboom', 'Weezing', 'Regieleki']",Teams and Results,Teams and results from the Victory Road to Columbus
3,7-2,CHL,Sebastián Lobos(Seba),$50,"['ZACIAN-Crowned', 'CALYREX-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Blastoise', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
4,7-2,ITA,Antonio Raimondo(Rey),$50,"['ZACIAN-Crowned', 'GROUDON', 'Incineroar', 'Venusaur', 'Porygon2', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
5,8-1,USA,Josh Ritz(Jag),$25,"['NECROZMA-Dusk-Mane', 'KYOGRE', 'Umbreon', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and results from the Victory Road to Columbus
6,7-2,MEX,Diego de la Vega(Machin),$25,"['CALYREX-Shadow-Rider', 'GROUDON', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and results from the Victory Road to Columbus
7,7-2,KOR,Donguk Jung(Spring),$25,"['ZACIAN-Crowned', 'KYOGRE', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and results from the Victory Road to Columbus
8,7-2,ESP,Iker Rodrigo(Reki),$25,"['XERNEAS', 'GROUDON', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and results from the Victory Road to Columbus
9,8-1,BRA,Pedro Feitosa(Pedro Henriq),–,"['ZACIAN-Crowned', 'KYOGRE', 'Landorus-Therian', 'Kartana', 'Shedinja', 'Tornadus']",Teams and Results,Teams and results from the Victory Road to Columbus
10,8-1,USA,Giovanni Costa(the one gio),–,"['ZACIAN-Crowned', 'DIALGA', 'Incineroar', 'Rillaboom', 'Whimsicott', 'Urshifu']",Teams and Results,Teams and results from the Victory Road to Columbus
11,8-1,JPN,Shunsuke Omori(イアル),–,"['LUGIA', 'KYOGRE', 'Incineroar', 'Kartana', 'Seismitoad', 'Raichu']",Teams and Results,Teams and results from the Victory Road to Columbus
12,7-2,ECU,Juan C. Ortiz(MrPenguin93),–,"['ZACIAN-Crowned', 'CALYREX-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
13,7-2,CHN,Lin Guli(古力TV),–,"['ZACIAN-Crowned', 'GROUDON', 'Incineroar', 'Gastrodon-East', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and results from the Victory Road to Columbus
14,7-2,VEN,Carlos Alezard(Carlitos),–,"['ZACIAN-Crowned', 'YVELTAL', 'Incineroar', 'Rillaboom', 'Urshifu', 'Coalossal']",Teams and Results,Teams and results from the Victory Road to Columbus
15,7-2,ESP,Jorge Vega(DarkJorch),–,"['LUNALA', 'GROUDON', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and results from the Victory Road to Columbus
16,7-2,MEX,Leonardo Sevilla(Leo),–,"['ZACIAN-Crowned', 'GROUDON', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and results from the Victory Road to Columbus
17,8-1,CHN,Xie Yantong(Darko),–,"['CALYREX-Shadow-Rider', 'KYOGRE', 'Charizard', 'Indeedee-Female', 'Whimsicott', 'Regieleki']",Teams and Results,Teams and results from the Victory Road to Columbus
18,8-1,USA,Josh VanValkenburgh(Vvictory),–,"['SOLGALEO', 'KYOGRE', 'Spectrier', 'Tornadus', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and results from the Victory Road to Columbus
19,7-2,ITA,Matteo Ghisini(frost☆),–,"['ZACIAN-Crowned', 'CALYREX-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
20,7-2,USA,Alex Arand(Alex),–,"['ZACIAN-Crowned', 'GROUDON', 'Incineroar', 'Venusaur', 'Jellicent', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
21,7-2,CHL,Sebastián Parra(STK Sebba),–,"['CALYREX-Shadow-Rider', 'GROUDON', 'Incineroar', 'Venusaur', 'Bronzong', 'Regieleki']",Teams and Results,Teams and results from the Victory Road to Columbus
22,7-2,USA,Joseph Ugarte(JoeUX9),–,"['LUNALA', 'GROUDON', 'Incineroar', 'Venusaur', 'Clefairy', 'Charizard']",Teams and Results,Teams and results from the Victory Road to Columbus
23,7-2,NDL,Sven van der Voorden(Sven),–,"['LUNALA', 'GROUDON', 'Incineroar', 'Venusaur', 'Urshifu', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
24,7-2,ESP,Manuel Barea(LeunamTG),–,"['ZACIAN-Crowned', 'YVELTAL', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Regieleki']",Teams and Results,Teams and results from the Victory Road to Columbus
25,7-2,USA,Luca Paz(0-x in swiss),–,"['ZACIAN-Crowned', 'KYOGRE', 'Incineroar', 'Amoonguss', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
26,7-2,ITA,Matteo Ballini(Mava),–,"['HO-OH', 'GROUDON', 'Incineroar', 'Venusaur', 'Gastrodon-East', 'Dragapult']",Teams and Results,Teams and results from the Victory Road to Columbus
27,7-2,ITA,Loris Di Mella(Loris),–,"['ZACIAN-Crowned', 'CALYREX-Shadow-Rider', 'Incineroar', 'Gastrodon', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and results from the Victory Road to Columbus
28,7-2,ITA,Roman Mishuta(Roman52),–,"['ZACIAN-Crowned', 'GROUDON', 'Charizard', 'Rillaboom', 'Grimmsnarl', 'Dragapult']",Teams and Results,Teams and results from the Victory Road to Columbus
1,6-2,CHN,Zhang Zhe(无极汰娜),200 CP$2000,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Bronzong', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
2,7-1,USA,Nathaniel Sitler(Atmosphere),160 CP$1000,"['Calyrex-Shadow-Rider', 'Kyogre', 'Clefairy', 'Whimsicott', 'Charizard', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
3,7-1,FIN,Oliver Eskolin(Dark Owe),130 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
4,7-1,USA,James Evans(James),130 CP$500,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Venusaur', 'Gastrodon-East', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
5,8-0,USA,Calvin Nisson(Gazoney),100 CP$250,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
6,7-1,USA,Chris Yingling(Chris),100 CP$250,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Urshifu', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
7,7-1,CHN,Peng Chongjun(Nocturne),100 CP$250,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
8,6-2,IND,Chirayu Gupta(Whatshamidt),100 CP$250,"['Zacian-Crowned', 'Reshiram', 'Landorus-Therian', 'Venusaur', 'Sableye', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
9,6-2,USA,Evan Witz(Evan),80 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Gastrodon-East', 'Landorus-Therian', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
10,6-2,IND,Raghav Malaviya(love),80 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
11,6-2,FRA,Thomas Gravouille(Hari),80 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Kartana', 'Shedinja', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
12,6-2,USA,Paul Chua(Paul),80 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Tapu-Fini', 'Amoonguss', 'Porygon2']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
13,6-2,USA,Dylan Salvanera(Ancile),80 CP,"['Zacian-Crowned', 'Kyogre', 'Kartana', 'Whimsicott', 'Landorus-Therian', 'Indeedee-Female']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
14,6-2,USA,Justin Ramirez(Lukamir),80 CP,"['Zacian-Crowned', 'Kyogre', 'Kartana', 'Amoonguss', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
15,6-2,CAN,Matt Tidd(Tidd),80 CP,"['Calyrex-Ice-Rider', 'Dialga', 'Incineroar', 'Amoonguss', 'Urshifu', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
16,6-2,USA,Rob McNeilly(Deishu),80 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Tornadus', 'Amoonguss', 'Landorus-Therian', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
17,6-2,USA,Luca Paz(0-x in swiss),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Amoonguss', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
18,6-2,USA,Grayson DeWolfe(Gray),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
19,6-2,USA,William Marks(Munkey),60 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Urshifu', 'Coalossal']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
20,6-2,USA,Collin Heier(BattleRoom),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
21,6-2,GTM,Juan M. Santizo(Juanma),60 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
22,6-2,HKG,Hayden Sheung(Hayden),60 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Charizard', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
23,6-2,CHN,Liao Xinyu(Xinyu),60 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Indeedee-Female', 'Porygon2']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
24,6-2,USA,Tayyab Baig(Tay),60 CP,"['Calyrex-Ice-Rider', 'Dialga', 'Incineroar', 'Amoonguss', 'Dusclops', 'Urshifu']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
25,6-2,USA,Brian Jens(Brian),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
26,6-2,USA,Jackson Baldus(Jackson),60 CP,"['Zacian-Crowned', 'Kyogre', 'Celesteela', 'Rillaboom', 'Tornadus', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
27,5-3,USA,Gary Qian(Takami Chika),60 CP,"['Yveltal', 'Kyogre', 'Exeggutor-Alola', 'Indeedee-Female', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
28,5-3,AUS,Henry Rich(Hobbit),60 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
29,5-3,ECU,Galo Orbea(EcuaDude),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
30,5-3,IND,Rohun Vangal(Conics),60 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
31,5-3,USA,Andrew Ding(Jadis★),60 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Landorus-Therian']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
32,5-3,USA,Giovanni Cischke(GiovanniVGC),60 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Slowbro', 'Regieleki']",Teams and Results,Teams and Results from the 2022 Milwaukee Regionals
1,12-2,USA,James Evans(James),500 CP$5000,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Venusaur', 'Gastrodon-East', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
2,11-3,BRA,Gabriel Agati Madeira(Gabriel),400 CP$2500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Kartana', 'Landorus-Therian', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
3,12-2,USA,Justin Burns(Justin),320 CP$1500,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Porygon2', 'Tapu-Fini']",Teams and Results,Teams and Results from the 2022 North America International Championships
4,11-3,USA,Joseph Ugarte(JoeUX9),320 CP$1500,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
5,11-3,CHN,Peng Chongjun(Nocturne),250 CP$1000,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
6,11-3,CHN,Zhang Zhe(无极汰娜),250 CP$1000,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
7,11-3,USA,James Baek(SoulUnison),250 CP$1000,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon-East', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
8,11-3,GBR,Taran Birdee(Taran),250 CP$1000,"['Zacian-Crowned', 'Kyogre', 'Charizard', 'Amoonguss', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
9,10-4,CHN,Si Dawei(露露),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Celesteela', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
10,10-4,ESP,Eric Rios(Riopaser),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
11,10-4,USA,Sohaib Mufti(Soh),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Amoonguss']",Teams and Results,Teams and Results from the 2022 North America International Championships
12,10-4,CHN,Tang Shiliang(？？？？？),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
13,10-4,IND,Siddharth Singhal(Buddha),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Kartana', 'Amoonguss', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
14,10-4,IND,Raghav Malaviya(love),200 CP$750,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
15,10-4,USA,Wolfe Glick(Wolfey),200 CP$750,"['Lunala', 'Groudon', 'Incineroar', 'Charizard', 'Grimmsnarl', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
16,10-4,JPN,Masayoshi Kuroo(クロ),200 CP$750,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Tornadus', 'Landorus-Therian', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
17,10-4,USA,Kyle Livinghouse(Animus),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Kartana', 'Mimikyu', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
18,9-5,FIN,Oliver Eskolin(Dark Owe),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
19,9-5,USA,Justin Carris(AzazeL),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Kartana', 'Amoonguss', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
20,9-5,ITA,Alex DellaPasqua(Gilgamesh),160 CP$500,"['Calyrex-Ice-Rider', 'Reshiram', 'Incineroar', 'Gastrodon', 'Amoonguss', 'Mimikyu']",Teams and Results,Teams and Results from the 2022 North America International Championships
21,9-5,FIN,Lauri Halonen(Latsu),160 CP$500,"['Calyrex-Ice-Rider', 'Reshiram', 'Grimmsnarl', 'Tapu-Fini', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
22,9-5,FRA,Thomas Gravouille(Hari),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Kartana', 'Shedinja', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
23,9-5,USA,Collin Heier(BattleRoom),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Venusaur', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
24,9-5,CAN,Jesse Romolo(Jesse),160 CP$500,"['Dialga', 'Kyogre', 'Incineroar', 'Rillaboom', 'Ditto', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
25,9-5,USA,Sean Bannen(Priority),160 CP$500,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Charizard', 'Thundurus', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
26,9-5,USA,Rob McNeilly(Deishu),160 CP$500,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Landorus-Therian', 'Amoonguss', 'Tornadus', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
27,8-6,USA,William Marks(Munkey),160 CP$500,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Urshifu', 'Coalossal']",Teams and Results,Teams and Results from the 2022 North America International Championships
28,8-6,DEU,Markus Stadter(13Yoshi37),160 CP$500,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Gothitelle', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
29,8-6,ESP,Guillermo Castilla(KastyTP),160 CP$500,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Tapu-Fini', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
30,7-5,USA,Thaison Hughes(charisma69),160 CP$500,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Porygon2', 'Tapu-Fini']",Teams and Results,Teams and Results from the 2022 North America International Championships
31,7-7,USA,Jeremy Parson(Zanzibar),160 CP$500,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
32,6-4,USA,Brady Smith(bsmiffy),160 CP$500,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Gastrodon', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
33,6-3,USA,Allan Martinez(Mando),130 CP,"['Yveltal', 'Kyogre', 'Clefairy', 'Kartana', 'Shedinja', 'Raichu']",Teams and Results,Teams and Results from the 2022 North America International Championships
34,6-3,USA,Alex Underhill(Lexicon),130 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Porygon2', 'Tapu-Fini']",Teams and Results,Teams and Results from the 2022 North America International Championships
35,6-3,IND,Abhay Iyer(Abhay),130 CP,"['Zacian-Crowned', 'Kyogre', 'Charizard', 'Amoonguss', 'Whimsicott', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
36,6-3,AUS,Henry Rich(Hobbit),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Venusaur', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
37,6-3,USA,Jerry Woods(Sabaku),130 CP,"['Zacian-Crowned', 'Groudon', 'Chandelure', 'Rillaboom', 'Grimmsnarl', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
38,6-3,USA,Giovanni Cischke(GiovanniVGC),130 CP,"['Yveltal', 'Groudon', 'Incineroar', 'Venusaur', 'Slowbro', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
39,6-3,ECU,Gabriel Berrios(Tomoko),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Zapdos']",Teams and Results,Teams and Results from the 2022 North America International Championships
40,6-3,USA,Andy Sheppard(Strider),130 CP,"['Zacian-Crowned', 'Groudon', 'Incineroar', 'Gastrodon-East', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
41,6-3,USA,Joel Nino(Mariano),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Kartana', 'Shedinja', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
42,6-3,MEX,Eduardo Abrego(laloBtl),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
43,6-3,USA,Baby Singh(sit on me),130 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Landorus-Therian', 'Gastrodon', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
44,6-3,USA,Chuppa Cross(Chuppa*Cross),130 CP,"['Lunala', 'Groudon', 'Umbreon', 'Venusaur', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
45,6-3,USA,Justin Ramirez(Lukamir),130 CP,"['Zacian-Crowned', 'Kyogre', 'Landorus-Therian', 'Kartana', 'Amoonguss', 'Tornadus']",Teams and Results,Teams and Results from the 2022 North America International Championships
46,6-3,USA,Santino Tarquinio(Santino),130 CP,"['Calyrex-Shadow-Rider', 'Groudon', 'Incineroar', 'Gastrodon', 'Grimmsnarl', 'Charizard']",Teams and Results,Teams and Results from the 2022 North America International Championships
47,6-3,USA,Paul Chua(Paul),130 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Porygon2', 'Tapu-Fini']",Teams and Results,Teams and Results from the 2022 North America International Championships
48,6-3,PRI,Jonathan Quiñones(Pocha),130 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Amoonguss', 'Grimmsnarl', 'Tapu-Fini']",Teams and Results,Teams and Results from the 2022 North America International Championships
49,6-3,USA,Aaron Brok(Clipperz1235),130 CP,"['Lunala', 'Groudon', 'Incineroar', 'Amoonguss', 'Charizard', 'Tapu-Koko']",Teams and Results,Teams and Results from the 2022 North America International Championships
50,6-3,USA,Adam Santos(Adam),130 CP,"['Zacian-Crowned', 'Lunala', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Araquanid']",Teams and Results,Teams and Results from the 2022 North America International Championships
51,6-3,GTM,Juan M. Santizo(Juanma),130 CP,"['Zacian-Crowned', 'Calyrex-Shadow-Rider', 'Incineroar', 'Rillaboom', 'Gastrodon-East', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
52,6-3,USA,Grant Laird(Verona),130 CP,"['Zacian-Crowned', 'Palkia', 'Incineroar', 'Rillaboom', 'Porygon2', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
53,6-3,MEX,Arath Vera(Arath),130 CP,"['Zacian-Crowned', 'Kyogre', 'Incineroar', 'Whimsicott', 'Dragapult', 'Zapdos']",Teams and Results,Teams and Results from the 2022 North America International Championships
54,6-3,CHL,Luciano Muñoz(hummus),130 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Landorus-Therian', 'Regieleki']",Teams and Results,Teams and Results from the 2022 North America International Championships
55,6-3,USA,Ian Holdeman(Ian),130 CP,"['Zacian-Crowned', 'Dialga', 'Incineroar', 'Rillaboom', 'Grimmsnarl', 'Urshifu']",Teams and Results,Teams and Results from the 2022 North America International Championships
56,6-3,USA,Chase Timmreck(Chase T.),130 CP,"['Zacian-Crowned', 'Yveltal', 'Incineroar', 'Rillaboom', 'Blastoise', 'Raichu']",Teams and Results,Teams and Results from the 2022 North America International Championships
57,6-3,USA,Jeremy Rodrigues(Serapis),130 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Rillaboom', 'Gothitelle', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
58,6-3,USA,Zackary Thornberg(Technoz),130 CP,"['Calyrex-Ice-Rider', 'Palkia', 'Incineroar', 'Rillaboom', 'Gothitelle', 'Thundurus']",Teams and Results,Teams and Results from the 2022 North America International Championships
